elap_secs	cum_tps	int_tps	cum_ips	int_ips	cum_excp	int_excp
10	0.00	0.00	0.00	0.00	0	0
20	0.00	0.00	0.00	0.00	0	0
30	0.00	0.00	0.00	0.00	0	0
40	0.00	0.00	0.00	0.00	0	0
50	0.00	0.00	0.00	0.00	0	0
60	2.12	12.82	0.00	0.00	0	0
70	1.83	0.10	0.00	0.00	0	0
80	1.60	0.00	0.00	0.00	0	0
90	1.61	1.68	0.00	0.00	0	0
100	2.56	11.11	0.00	0.00	0	0
110	2.33	0.00	0.00	0.00	0	0
120	2.13	0.00	0.00	0.00	0	0
130	2.95	12.70	0.00	0.00	0	0
140	2.74	0.10	0.00	0.00	0	0
150	2.56	0.00	0.00	0.00	0	0
160	3.07	10.71	0.00	0.00	0	0
170	3.01	2.06	0.00	0.00	0	0
180	2.84	0.00	0.00	0.00	0	0
190	3.19	9.49	0.00	0.00	0	0
200	3.20	3.37	0.00	0.00	0	0
210	3.05	0.00	0.00	0.00	0	0
220	3.42	11.20	0.00	0.00	0	0
230	3.33	1.57	0.00	0.00	0	0
240	3.33	3.17	0.00	0.00	0	0
250	3.58	9.60	0.00	0.00	0	0
260	3.45	0.10	0.00	0.00	0	0
270	3.73	11.09	0.00	0.00	0	0
280	3.66	1.62	0.00	0.00	0	0
290	3.73	5.80	0.00	0.00	0	0
300	3.84	6.93	0.00	0.00	0	0
310	3.80	2.62	0.00	0.00	0	0
320	3.98	9.60	0.00	0.00	0	0
330	3.94	2.67	0.00	0.00	0	0
340	4.12	10.00	0.00	0.00	0	0
350	4.08	2.60	0.00	0.00	0	0
360	4.22	9.49	0.00	0.00	0	0
370	4.21	3.60	0.00	0.00	0	0
380	4.34	9.11	0.00	0.00	0	0
390	4.35	4.90	0.00	0.00	0	0
400	4.45	8.10	0.00	0.00	0	0
410	4.46	4.95	0.00	0.00	0	0
420	4.54	7.94	0.00	0.00	0	0
430	4.59	6.66	0.00	0.00	0	0
440	4.64	7.03	0.00	0.00	0	0
450	4.71	7.67	0.00	0.00	0	0
460	4.74	5.85	0.00	0.00	0	0
470	4.80	7.77	0.00	0.00	0	0
480	4.84	6.86	0.00	0.00	0	0
490	4.87	6.27	0.00	0.00	0	0
500	4.94	8.48	0.00	0.00	0	0
510	4.95	5.40	0.00	0.00	0	0
520	5.02	8.22	0.00	0.00	0	0
