elap_secs	cum_tps	int_tps	cum_ips	int_ips	cum_excp	int_excp
10	3.20	3.20	0.00	0.00	0	0
20	7.00	10.80	0.00	0.00	0	0
30	8.83	12.50	0.00	0.00	0	0
40	10.35	14.90	0.00	0.00	0	0
50	12.06	18.90	0.00	0.00	0	0
60	14.20	24.90	0.00	0.00	0	0
70	16.07	27.29	0.00	0.00	0	0
80	17.55	27.84	0.00	0.00	0	0
90	18.84	29.28	0.00	0.00	0	0
100	19.89	29.31	0.00	0.00	0	0
110	20.74	29.19	0.00	0.00	0	0
120	21.55	30.51	0.00	0.00	0	0
130	22.23	30.40	0.00	0.00	0	0
140	22.96	32.28	0.00	0.00	0	0
150	23.40	29.70	0.00	0.00	0	0
160	23.90	31.30	0.00	0.00	0	0
170	24.36	31.90	0.00	0.00	0	0
180	24.75	31.21	0.00	0.00	0	0
190	25.13	32.10	0.00	0.00	0	0
200	25.44	31.41	0.00	0.00	0	0
210	25.77	32.29	0.00	0.00	0	0
220	26.04	31.70	0.00	0.00	0	0
230	26.29	31.70	0.00	0.00	0	0
240	26.57	33.23	0.00	0.00	0	0
250	26.93	35.38	0.00	0.00	0	0
260	27.33	37.51	0.00	0.00	0	0
270	27.73	37.93	0.00	0.00	0	0
280	28.18	40.40	0.00	0.00	0	0
290	28.60	40.39	0.00	0.00	0	0
300	29.03	41.50	0.00	0.00	0	0
310	29.42	41.11	0.00	0.00	0	0
320	29.78	40.99	0.00	0.00	0	0
330	30.17	42.59	0.00	0.00	0	0
340	30.56	43.30	0.00	0.00	0	0
350	30.92	43.41	0.00	0.00	0	0
360	31.27	43.40	0.00	0.00	0	0
